"angle","temp","azimuth","humidity","species","sex"
0.17453,17.2,115,65,"salt","F"
0.2618,17.2,115,65,"ND","J"
2.35619,17.2,115,65,"salt","M"
4.10152,17.2,115,65,"salt","F"
4.27606,17.2,115,65,"salt","F"
4.71239,17.2,115,65,"salt","F"
4.88692,17.2,115,65,"salt","M"
4.88692,17.2,115,65,"salt","M"
4.97419,17.2,115,65,"salt","M"
4.97419,17.2,115,65,"salt","F"
4.97419,17.2,115,65,"salt","F"
5.06145,17.2,115,65,"salt","M"
5.06145,17.2,115,65,"salt","M"
5.06145,17.2,115,65,"salt","M"
5.06145,17.2,115,65,"salt","F"
5.06145,17.2,115,65,"salt","F"
5.14872,17.2,115,65,"salt","M"
5.14872,17.2,115,65,"salt","M"
5.14872,17.2,115,65,"salt","F"
5.23599,17.2,115,65,"salt","M"
5.32325,17.2,115,65,"salt","M"
5.32325,17.2,115,65,"salt","M"
5.32325,17.2,115,65,"salt","F"
5.41052,17.2,115,65,"salt","M"
5.41052,17.2,115,65,"salt","M"
5.41052,17.2,115,65,"salt","M"
5.41052,17.2,115,65,"ND","J"
5.41052,17.2,115,65,"ND","J"
5.41052,17.2,115,65,"ND","J"
5.49779,17.2,115,65,"salt","M"
5.49779,17.2,115,65,"salt","M"
5.49779,17.2,115,65,"salt","F"
5.49779,17.2,115,65,"salt","F"
5.49779,17.2,115,65,"ND","J"
5.49779,17.2,115,65,"ND","J"
5.49779,17.2,115,65,"ND","J"
5.58505,17.2,115,65,"salt","M"
5.58505,17.2,115,65,"salt","M"
5.58505,17.2,115,65,"salt","M"
5.58505,17.2,115,65,"salt","F"
5.58505,17.2,115,65,"ND","J"
5.58505,17.2,115,65,"ND","J"
5.67232,17.2,115,65,"salt","M"
5.67232,17.2,115,65,"salt","M"
5.67232,17.2,115,65,"salt","F"
5.67232,17.2,115,65,"salt","F"
5.67232,17.2,115,65,"salt","F"
5.67232,17.2,115,65,"ND","J"
5.75959,17.2,115,65,"salt","M"
5.75959,17.2,115,65,"salt","F"
5.84685,17.2,115,65,"salt","M"
5.84685,17.2,115,65,"salt","F"
5.84685,17.2,115,65,"salt","F"
5.84685,17.2,115,65,"salt","F"
5.93412,17.2,115,65,"salt","M"
6.02139,17.2,115,65,"salt","M"
6.02139,17.2,115,65,"salt","F"
6.02139,17.2,115,65,"salt","F"
6.02139,17.2,115,65,"salt","F"
6.02139,17.2,115,65,"salt","F"
6.02139,17.2,115,65,"salt","F"
6.02139,17.2,115,65,"brito","M"
6.10865,17.2,115,65,"ND","J"
6.19592,17.2,115,65,"salt","M"
0,17.2,115,65,"ND","J"
0.08727,17.2,115,65,"salt","F"
0.08727,17.2,115,65,"salt","F"
0.17453,17.2,115,65,"salt","F"
0.17453,17.2,115,65,"brito","M"
0.34907,17.2,115,65,"salt","F"
1.39626,17.2,115,65,"salt","F"
3.66519,17.2,115,65,"salt","M"
4.36332,17.2,115,65,"salt","F"
4.45059,17.2,115,65,"brito","F"
4.53786,17.2,115,65,"salt","M"
4.53786,17.2,115,65,"ND","J"
4.79966,17.2,115,65,"salt","M"
4.97419,17.2,115,65,"salt","M"
4.97419,17.2,115,65,"salt","M"
4.97419,17.2,115,65,"ND","J"
5.06145,17.2,115,65,"salt","M"
5.06145,17.2,115,65,"brito","M"
5.06145,17.2,115,65,"brito","F"
5.06145,17.2,115,65,"ND","J"
5.14872,17.2,115,65,"salt","M"
5.14872,17.2,115,65,"salt","M"
5.14872,17.2,115,65,"salt","M"
5.14872,17.2,115,65,"salt","F"
5.14872,17.2,115,65,"brito","F"
5.14872,17.2,115,65,"ND","J"
5.14872,17.2,115,65,"ND","J"
5.14872,17.2,115,65,"ND","J"
5.23599,17.2,115,65,"salt","M"
5.23599,17.2,115,65,"ND","J"
5.32325,17.2,115,65,"salt","M"
5.32325,17.2,115,65,"ND","J"
5.41052,17.2,115,65,"salt","M"
5.41052,17.2,115,65,"salt","F"
5.41052,17.2,115,65,"ND","J"
5.41052,17.2,115,65,"ND","J"
5.49779,17.2,115,65,"salt","M"
5.49779,17.2,115,65,"salt","M"
5.49779,17.2,115,65,"ND","J"
5.58505,17.2,115,65,"salt","M"
5.58505,17.2,115,65,"salt","M"
5.58505,17.2,115,65,"salt","F"
5.58505,17.2,115,65,"brito","F"
5.58505,17.2,115,65,"ND","J"
5.67232,17.2,115,65,"salt","M"
5.75959,17.2,115,65,"salt","M"
5.75959,17.2,115,65,"ND","J"
5.75959,17.2,115,65,"ND","J"
5.84685,17.2,115,65,"salt","F"
5.84685,17.2,115,65,"salt","F"
5.93412,17.2,115,65,"salt","M"
5.93412,17.2,115,65,"salt","M"
5.93412,17.2,115,65,"salt","F"
6.02139,17.2,115,65,"salt","M"
6.02139,17.2,115,65,"salt","M"
6.02139,17.2,115,65,"salt","M"
6.02139,17.2,115,65,"salt","M"
6.02139,17.2,115,65,"salt","M"
6.02139,17.2,115,65,"salt","F"
6.10865,17.2,115,65,"brito","F"
6.10865,17.2,115,65,"ND","J"
6.19592,17.2,115,65,"salt","M"
6.19592,17.2,115,65,"salt","F"
6.19592,17.2,115,65,"ND","J"
0,17.2,115,65,"salt","M"
0.17453,17.9,173,65,"salt","M"
0.17453,17.9,173,65,"salt","F"
0.17453,17.9,173,65,"salt","F"
0.2618,17.9,173,65,"ND","J"
0.34907,17.9,173,65,"salt","M"
0.5236,17.9,173,65,"salt","M"
0.69813,17.9,173,65,"salt","M"
0.7854,17.9,173,65,"salt","F"
1.22173,17.9,173,65,"salt","F"
1.309,17.9,173,65,"salt","F"
2.44346,17.9,173,65,"salt","M"
2.53073,17.9,173,65,"salt","F"
3.49066,17.9,173,65,"salt","F"
3.57792,17.9,173,65,"ND","J"
3.66519,17.9,173,65,"salt","F"
3.66519,17.9,173,65,"ND","J"
3.75246,17.9,173,65,"salt","F"
3.92699,17.9,173,65,"salt","F"
4.18879,17.9,173,65,"salt","M"
4.18879,17.9,173,65,"salt","M"
4.45059,17.9,173,65,"salt","M"
4.79966,17.9,173,65,"salt","F"
4.79966,17.9,173,65,"salt","F"
4.88692,17.9,173,65,"salt","M"
4.88692,17.9,173,65,"salt","M"
5.06145,17.9,173,65,"salt","F"
5.14872,17.9,173,65,"brito","F"
5.23599,17.9,173,65,"salt","M"
5.23599,17.9,173,65,"salt","F"
5.23599,17.9,173,65,"salt","F"
5.23599,17.9,173,65,"salt","F"
5.23599,17.9,173,65,"ND","J"
5.23599,17.9,173,65,"ND","J"
5.49779,17.9,173,65,"salt","F"
5.67232,17.9,173,65,"salt","M"
5.75959,17.9,173,65,"brito","F"
5.84685,17.9,173,65,"salt","M"
5.84685,17.9,173,65,"salt","F"
5.93412,17.9,173,65,"salt","M"
5.93412,17.9,173,65,"salt","F"
5.93412,17.9,173,65,"salt","F"
5.93412,17.9,173,65,"salt","F"
6.02139,17.9,173,65,"salt","M"
6.02139,17.9,173,65,"salt","M"
6.02139,17.9,173,65,"salt","F"
6.02139,17.9,173,65,"salt","F"
6.10865,17.9,173,65,"salt","F"
6.10865,17.9,173,65,"ND","J"
6.10865,17.9,173,65,"ND","J"
6.10865,17.9,173,65,"ND","J"
0,17.9,173,65,"salt","F"
0.08727,17.9,173,65,"salt","M"
0.08727,17.9,173,65,"salt","M"
0.08727,17.9,173,65,"salt","M"
0.08727,17.9,173,65,"ND","J"
0.17453,17.9,173,65,"salt","F"
0.2618,17.9,173,65,"salt","F"
0.69813,17.9,173,65,"salt","F"
0.7854,17.9,173,65,"brito","F"
0.7854,17.9,173,65,"ND","J"
0.7854,17.9,173,65,"ND","J"
0.87266,17.9,173,65,"salt","M"
0.87266,17.9,173,65,"brito","F"
1.13446,17.9,173,65,"salt","F"
1.22173,17.9,173,65,"ND","J"
1.22173,17.9,173,65,"ND","J"
1.22173,17.9,173,65,"ND","J"
1.48353,17.9,173,65,"ND","J"
2.0944,17.9,173,65,"salt","F"
2.0944,17.9,173,65,"ND","J"
3.05433,17.9,173,65,"salt","F"
3.14159,17.9,173,65,"ND","J"
3.22886,17.9,173,65,"brito","M"
4.71239,17.9,173,65,"salt","M"
4.79966,17.9,173,65,"salt","M"
4.88692,17.9,173,65,"salt","F"
4.88692,17.9,173,65,"ND","J"
4.88692,17.9,173,65,"ND","J"
4.97419,17.9,173,65,"brito","F"
5.06145,17.9,173,65,"salt","M"
5.14872,17.9,173,65,"salt","F"
5.14872,17.9,173,65,"brito","F"
5.32325,17.9,173,65,"salt","M"
5.32325,17.9,173,65,"ND","J"
5.41052,17.9,173,65,"salt","M"
5.41052,17.9,173,65,"salt","M"
5.41052,17.9,173,65,"salt","M"
5.41052,17.9,173,65,"brito","M"
5.49779,17.9,173,65,"salt","M"
5.49779,17.9,173,65,"salt","M"
5.49779,17.9,173,65,"brito","M"
5.49779,17.9,173,65,"brito","M"
5.49779,17.9,173,65,"ND","J"
5.49779,17.9,173,65,"ND","J"
5.58505,17.9,173,65,"salt","M"
5.58505,17.9,173,65,"salt","M"
5.58505,17.9,173,65,"salt","F"
5.75959,17.9,173,65,"salt","M"
5.75959,17.9,173,65,"salt","M"
5.75959,17.9,173,65,"salt","F"
5.93412,17.9,173,65,"salt","F"
5.93412,17.9,173,65,"ND","J"
5.93412,17.9,173,65,"ND","J"
6.02139,17.9,173,65,"salt","F"
6.10865,17.9,173,65,"salt","M"
6.10865,17.9,173,65,"salt","F"
6.10865,17.9,173,65,"salt","F"
6.10865,17.9,173,65,"ND","J"
6.10865,17.9,173,65,"ND","J"
6.19592,17.9,173,65,"salt","M"
6.19592,17.9,173,65,"brito","F"
6.19592,17.9,173,65,"ND","J"
0,17.9,173,65,"salt","M"
0,17.9,173,65,"ND","J"
0.2618,17.6,250,70,"salt","M"
0.2618,17.6,250,70,"salt","F"
0.43633,17.6,250,70,"salt","M"
1.13446,17.6,250,70,"ND","J"
1.74533,17.6,250,70,"salt","M"
4.10152,17.6,250,70,"ND","J"
4.53786,17.6,250,70,"ND","J"
4.62512,17.6,250,70,"salt","F"
4.62512,17.6,250,70,"ND","J"
4.79966,17.6,250,70,"salt","F"
4.79966,17.6,250,70,"ND","J"
4.88692,17.6,250,70,"brito","F"
4.97419,17.6,250,70,"salt","F"
5.06145,17.6,250,70,"salt","F"
5.06145,17.6,250,70,"salt","F"
5.23599,17.6,250,70,"salt","F"
5.23599,17.6,250,70,"brito","F"
5.32325,17.6,250,70,"salt","M"
5.32325,17.6,250,70,"salt","M"
5.32325,17.6,250,70,"salt","F"
5.32325,17.6,250,70,"ND","J"
5.32325,17.6,250,70,"ND","J"
5.41052,17.6,250,70,"salt","M"
5.41052,17.6,250,70,"salt","F"
5.41052,17.6,250,70,"ND","J"
5.49779,17.6,250,70,"salt","F"
5.49779,17.6,250,70,"salt","F"
5.49779,17.6,250,70,"salt","F"
5.58505,17.6,250,70,"salt","M"
5.58505,17.6,250,70,"salt","F"
5.84685,17.6,250,70,"salt","M"
5.84685,17.6,250,70,"salt","M"
5.84685,17.6,250,70,"salt","M"
5.84685,17.6,250,70,"salt","F"
5.84685,17.6,250,70,"salt","F"
5.84685,17.6,250,70,"brito","F"
5.84685,17.6,250,70,"ND","J"
5.84685,17.6,250,70,"ND","J"
5.84685,17.6,250,70,"ND","J"
5.93412,17.6,250,70,"ND","J"
6.02139,17.6,250,70,"salt","M"
6.02139,17.6,250,70,"salt","F"
6.02139,17.6,250,70,"salt","F"
6.02139,17.6,250,70,"salt","F"
6.02139,17.6,250,70,"ND","J"
6.10865,17.6,250,70,"salt","M"
6.10865,17.6,250,70,"salt","M"
6.10865,17.6,250,70,"salt","M"
6.19592,17.6,250,70,"salt","M"
0,17.6,250,70,"salt","M"
0,17.6,250,70,"salt","M"
0,17.6,250,70,"salt","M"
0,17.6,250,70,"salt","M"
0,17.6,250,70,"salt","F"
3.75246,17.6,250,70,"salt","M"
4.10152,17.6,250,70,"salt","M"
4.18879,17.6,250,70,"salt","F"
4.27606,17.6,250,70,"salt","F"
4.27606,17.6,250,70,"ND","J"
4.36332,17.6,250,70,"salt","M"
4.45059,17.6,250,70,"salt","F"
4.53786,17.6,250,70,"salt","F"
4.71239,17.6,250,70,"salt","M"
4.79966,17.6,250,70,"salt","F"
4.79966,17.6,250,70,"salt","F"
4.88692,17.6,250,70,"salt","M"
4.88692,17.6,250,70,"ND","J"
4.97419,17.6,250,70,"salt","M"
4.97419,17.6,250,70,"salt","F"
4.97419,17.6,250,70,"salt","F"
4.97419,17.6,250,70,"salt","F"
4.97419,17.6,250,70,"ND","J"
5.06145,17.6,250,70,"salt","M"
5.06145,17.6,250,70,"salt","F"
5.06145,17.6,250,70,"salt","F"
5.06145,17.6,250,70,"salt","F"
5.06145,17.6,250,70,"salt","F"
5.06145,17.6,250,70,"ND","J"
5.14872,17.6,250,70,"ND","J"
5.23599,17.6,250,70,"salt","F"
5.23599,17.6,250,70,"salt","F"
5.32325,17.6,250,70,"salt","M"
5.32325,17.6,250,70,"salt","M"
5.32325,17.6,250,70,"salt","M"
5.32325,17.6,250,70,"salt","F"
5.41052,17.6,250,70,"salt","F"
5.49779,17.6,250,70,"salt","F"
5.58505,17.6,250,70,"salt","F"
5.58505,17.6,250,70,"salt","F"
5.58505,17.6,250,70,"ND","J"
5.58505,17.6,250,70,"ND","J"
5.67232,17.6,250,70,"salt","M"
5.67232,17.6,250,70,"salt","M"
5.67232,17.6,250,70,"salt","M"
5.67232,17.6,250,70,"salt","F"
5.67232,17.6,250,70,"salt","F"
5.67232,17.6,250,70,"salt","F"
5.67232,17.6,250,70,"ND","J"
5.67232,17.6,250,70,"ND","J"
5.75959,17.6,250,70,"salt","F"
5.75959,17.6,250,70,"salt","F"
5.75959,17.6,250,70,"ND","J"
5.75959,17.6,250,70,"ND","J"
5.75959,17.6,250,70,"ND","J"
5.93412,17.6,250,70,"salt","F"
6.02139,17.6,250,70,"salt","F"
6.02139,17.6,250,70,"salt","F"
0,17.6,250,70,"salt","M"
0,17.6,250,70,"salt","M"
0.08727,23.5,109,49,"ND","J"
0.08727,23.5,109,49,"ND","J"
0.61087,23.5,109,49,"salt","F"
0.7854,23.5,109,49,"salt","M"
1.0472,23.5,109,49,"ND","J"
1.13446,23.5,109,49,"ND","J"
1.39626,23.5,109,49,"salt","M"
1.8326,23.5,109,49,"salt","F"
2.0944,23.5,109,49,"ND","J"
2.0944,23.5,109,49,"ND","J"
3.66519,23.5,109,49,"salt","M"
3.66519,23.5,109,49,"ND","J"
4.10152,23.5,109,49,"brito","F"
4.27606,23.5,109,49,"ND","J"
4.36332,23.5,109,49,"salt","M"
4.36332,23.5,109,49,"salt","F"
4.45059,23.5,109,49,"salt","F"
4.45059,23.5,109,49,"salt","F"
4.53786,23.5,109,49,"salt","M"
4.53786,23.5,109,49,"salt","F"
4.71239,23.5,109,49,"salt","M"
4.71239,23.5,109,49,"salt","F"
4.79966,23.5,109,49,"salt","F"
4.79966,23.5,109,49,"ND","J"
4.79966,23.5,109,49,"ND","J"
4.88692,23.5,109,49,"salt","M"
4.88692,23.5,109,49,"salt","M"
4.88692,23.5,109,49,"salt","F"
4.88692,23.5,109,49,"brito","F"
4.97419,23.5,109,49,"salt","M"
4.97419,23.5,109,49,"salt","M"
4.97419,23.5,109,49,"salt","F"
4.97419,23.5,109,49,"salt","F"
4.97419,23.5,109,49,"ND","J"
5.06145,23.5,109,49,"salt","M"
5.06145,23.5,109,49,"salt","F"
5.06145,23.5,109,49,"salt","F"
5.23599,23.5,109,49,"brito","M"
5.23599,23.5,109,49,"brito","F"
5.23599,23.5,109,49,"ND","J"
5.32325,23.5,109,49,"salt","M"
5.32325,23.5,109,49,"brito","M"
5.41052,23.5,109,49,"ND","J"
5.41052,23.5,109,49,"ND","J"
5.49779,23.5,109,49,"brito","M"
5.49779,23.5,109,49,"brito","M"
5.49779,23.5,109,49,"brito","M"
5.49779,23.5,109,49,"brito","F"
5.49779,23.5,109,49,"brito","F"
5.49779,23.5,109,49,"ND","J"
5.58505,23.5,109,49,"salt","M"
5.58505,23.5,109,49,"salt","F"
5.58505,23.5,109,49,"salt","F"
5.58505,23.5,109,49,"salt","F"
5.67232,23.5,109,49,"salt","F"
5.67232,23.5,109,49,"salt","F"
5.93412,23.5,109,49,"brito","F"
5.93412,23.5,109,49,"ND","J"
6.02139,23.5,109,49,"brito","F"
6.02139,23.5,109,49,"brito","F"
6.10865,23.5,109,49,"salt","F"
6.19592,23.5,109,49,"ND","J"
0.08727,23.5,109,49,"salt","M"
0.17453,23.5,109,49,"brito","F"
0.61087,23.5,109,49,"salt","F"
0.61087,23.5,109,49,"ND","J"
0.69813,23.5,109,49,"ND","J"
0.7854,23.5,109,49,"salt","M"
3.49066,23.5,109,49,"salt","F"
4.27606,23.5,109,49,"salt","F"
4.62512,23.5,109,49,"salt","F"
4.62512,23.5,109,49,"ND","J"
4.79966,23.5,109,49,"ND","J"
4.88692,23.5,109,49,"salt","F"
4.97419,23.5,109,49,"salt","F"
4.97419,23.5,109,49,"brito","F"
4.97419,23.5,109,49,"ND","J"
5.06145,23.5,109,49,"salt","M"
5.06145,23.5,109,49,"salt","F"
5.06145,23.5,109,49,"salt","F"
5.06145,23.5,109,49,"salt","F"
5.06145,23.5,109,49,"brito","M"
5.14872,23.5,109,49,"brito","M"
5.14872,23.5,109,49,"ND","J"
5.14872,23.5,109,49,"ND","J"
5.23599,23.5,109,49,"salt","F"
5.23599,23.5,109,49,"salt","F"
5.32325,23.5,109,49,"salt","F"
5.32325,23.5,109,49,"salt","F"
5.32325,23.5,109,49,"ND","J"
5.32325,23.5,109,49,"ND","J"
5.41052,23.5,109,49,"salt","M"
5.41052,23.5,109,49,"salt","M"
5.41052,23.5,109,49,"salt","M"
5.41052,23.5,109,49,"salt","M"
5.41052,23.5,109,49,"salt","F"
5.41052,23.5,109,49,"salt","F"
5.41052,23.5,109,49,"ND","J"
5.41052,23.5,109,49,"ND","J"
5.41052,23.5,109,49,"ND","J"
5.41052,23.5,109,49,"ND","J"
5.49779,23.5,109,49,"salt","M"
5.49779,23.5,109,49,"ND","J"
5.49779,23.5,109,49,"ND","J"
5.49779,23.5,109,49,"ND","J"
5.58505,23.5,109,49,"salt","M"
5.58505,23.5,109,49,"salt","F"
5.58505,23.5,109,49,"salt","F"
5.67232,23.5,109,49,"salt","M"
5.75959,23.5,109,49,"salt","F"
5.75959,23.5,109,49,"ND","J"
5.84685,23.5,109,49,"ND","J"
5.84685,23.5,109,49,"ND","J"
5.93412,23.5,109,49,"salt","M"
5.93412,23.5,109,49,"salt","F"
5.93412,23.5,109,49,"ND","J"
6.02139,23.5,109,49,"ND","J"
6.10865,23.5,109,49,"ND","J"
6.10865,23.5,109,49,"ND","J"
6.10865,23.5,109,49,"ND","J"
6.19592,23.5,109,49,"ND","J"
0,23.5,109,49,"ND","J"
0.08727,25.8,167,29,"brito","M"
0.08727,25.8,167,29,"brito","F"
0.34907,25.8,167,29,"brito","M"
0.43633,25.8,167,29,"brito","F"
0.69813,25.8,167,29,"brito","M"
0.69813,25.8,167,29,"ND","J"
0.95993,25.8,167,29,"brito","F"
1.0472,25.8,167,29,"brito","M"
1.0472,25.8,167,29,"brito","F"
1.13446,25.8,167,29,"brito","F"
1.13446,25.8,167,29,"ND","J"
1.22173,25.8,167,29,"brito","M"
1.39626,25.8,167,29,"brito","M"
1.39626,25.8,167,29,"brito","F"
1.48353,25.8,167,29,"ND","J"
1.48353,25.8,167,29,"ND","J"
1.65806,25.8,167,29,"brito","M"
1.65806,25.8,167,29,"brito","M"
1.74533,25.8,167,29,"brito","F"
1.8326,25.8,167,29,"brito","M"
1.8326,25.8,167,29,"brito","M"
1.8326,25.8,167,29,"brito","F"
1.8326,25.8,167,29,"brito","F"
1.91986,25.8,167,29,"brito","F"
2.0944,25.8,167,29,"brito","M"
2.18166,25.8,167,29,"brito","F"
2.26893,25.8,167,29,"brito","M"
2.26893,25.8,167,29,"brito","F"
2.35619,25.8,167,29,"brito","M"
2.35619,25.8,167,29,"brito","F"
2.79253,25.8,167,29,"brito","F"
3.22886,25.8,167,29,"brito","F"
3.31613,25.8,167,29,"brito","F"
3.40339,25.8,167,29,"brito","F"
3.40339,25.8,167,29,"brito","F"
3.49066,25.8,167,29,"ND","J"
3.57792,25.8,167,29,"ND","J"
3.75246,25.8,167,29,"brito","F"
4.10152,25.8,167,29,"brito","M"
4.10152,25.8,167,29,"brito","F"
4.88692,25.8,167,29,"brito","M"
4.88692,25.8,167,29,"brito","M"
4.97419,25.8,167,29,"brito","F"
4.97419,25.8,167,29,"brito","F"
5.14872,25.8,167,29,"brito","M"
5.14872,25.8,167,29,"brito","M"
5.32325,25.8,167,29,"brito","M"
5.84685,25.8,167,29,"brito","M"
5.84685,25.8,167,29,"brito","F"
5.93412,25.8,167,29,"brito","F"
5.93412,25.8,167,29,"brito","F"
6.10865,25.8,167,29,"ND","J"
6.10865,25.8,167,29,"ND","J"
6.19592,25.8,167,29,"brito","F"
0,25.8,167,29,"brito","F"
0.08727,25.8,167,29,"brito","F"
0.17453,25.8,167,29,"brito","M"
0.43633,25.8,167,29,"brito","F"
0.5236,25.8,167,29,"brito","M"
0.5236,25.8,167,29,"brito","M"
0.5236,25.8,167,29,"brito","M"
0.69813,25.8,167,29,"brito","M"
0.69813,25.8,167,29,"brito","F"
0.69813,25.8,167,29,"brito","F"
0.7854,25.8,167,29,"brito","M"
0.87266,25.8,167,29,"brito","F"
0.87266,25.8,167,29,"brito","F"
0.95993,25.8,167,29,"brito","M"
1.0472,25.8,167,29,"brito","M"
1.0472,25.8,167,29,"brito","F"
1.309,25.8,167,29,"brito","F"
1.48353,25.8,167,29,"brito","F"
1.48353,25.8,167,29,"brito","F"
1.5708,25.8,167,29,"brito","M"
1.5708,25.8,167,29,"brito","M"
1.74533,25.8,167,29,"brito","F"
1.8326,25.8,167,29,"brito","M"
2.00713,25.8,167,29,"ND","J"
2.18166,25.8,167,29,"brito","M"
2.35619,25.8,167,29,"brito","M"
2.61799,25.8,167,29,"brito","M"
2.96706,25.8,167,29,"brito","M"
3.05433,25.8,167,29,"brito","F"
3.66519,25.8,167,29,"brito","M"
3.66519,25.8,167,29,"brito","F"
4.18879,25.8,167,29,"brito","M"
4.18879,25.8,167,29,"brito","F"
4.36332,25.8,167,29,"brito","M"
4.36332,25.8,167,29,"brito","M"
4.36332,25.8,167,29,"brito","M"
4.36332,25.8,167,29,"brito","F"
4.36332,25.8,167,29,"ND","J"
4.45059,25.8,167,29,"brito","F"
4.53786,25.8,167,29,"brito","F"
4.62512,25.8,167,29,"brito","M"
4.79966,25.8,167,29,"brito","F"
4.79966,25.8,167,29,"ND","J"
4.88692,25.8,167,29,"brito","F"
4.88692,25.8,167,29,"brito","F"
5.06145,25.8,167,29,"ND","J"
5.14872,25.8,167,29,"ND","J"
5.23599,25.8,167,29,"brito","M"
5.23599,25.8,167,29,"brito","F"
5.41052,25.8,167,29,"brito","M"
5.41052,25.8,167,29,"brito","F"
5.58505,25.8,167,29,"brito","F"
5.75959,25.8,167,29,"brito","M"
5.75959,25.8,167,29,"brito","M"
5.75959,25.8,167,29,"brito","M"
5.75959,25.8,167,29,"brito","F"
5.93412,25.8,167,29,"brito","M"
5.93412,25.8,167,29,"brito","F"
6.02139,25.8,167,29,"brito","M"
6.02139,25.8,167,29,"brito","F"
6.02139,25.8,167,29,"ND","J"
6.10865,25.8,167,29,"brito","M"
6.10865,25.8,167,29,"brito","M"
6.10865,25.8,167,29,"brito","M"
6.10865,25.8,167,29,"brito","M"
6.10865,25.8,167,29,"brito","F"
6.10865,25.8,167,29,"brito","F"
6.19592,25.8,167,29,"brito","M"
6.19592,25.8,167,29,"brito","F"
0.08727,25.5,254,33,"brito","M"
0.08727,25.5,254,33,"brito","F"
0.17453,25.5,254,33,"brito","M"
0.17453,25.5,254,33,"brito","F"
0.34907,25.5,254,33,"brito","M"
0.34907,25.5,254,33,"brito","F"
0.43633,25.5,254,33,"brito","M"
0.43633,25.5,254,33,"brito","M"
0.61087,25.5,254,33,"brito","M"
0.61087,25.5,254,33,"ND","J"
0.69813,25.5,254,33,"brito","M"
1.13446,25.5,254,33,"brito","F"
1.65806,25.5,254,33,"brito","F"
1.74533,25.5,254,33,"ND","J"
2.00713,25.5,254,33,"brito","M"
2.26893,25.5,254,33,"ND","J"
